CRITICAL:root:classifier = models/smalluav_gnb_clf_1-5sec.pkl
CRITICAL:root:threat_value = uav
CRITICAL:root:recording_time = 1.5
CRITICAL:root:number_of_saved_noises = 50
CRITICAL:root:[2021-02-23 20:55:02.462626] Towers wt2 and wt1 spotted a threat. Coordinates [40.41286968162778; -86.95032627783758]
CRITICAL:root:[2021-02-23 20:55:02.462626] Tower wt2 dev = 0.00030935999999999984 ; Tower wt1 dev = 0.00027184649999999894 
CRITICAL:root:[2021-02-23 20:55:02.495992] Towers wt2 and wt1 spotted a threat. Coordinates [40.41286968162778; -86.95032627783758]
CRITICAL:root:[2021-02-23 20:55:02.495992] Tower wt2 dev = 0.00030935999999999984 ; Tower wt1 dev = 0.00027184649999999894 
CRITICAL:root:[2021-02-23 20:55:03.056689] Towers wt2 and wt1 spotted a threat. Coordinates [40.412866279683286; -86.95033637027292]
CRITICAL:root:[2021-02-23 20:55:03.056689] Tower wt2 dev = 0.00029560250000000045 ; Tower wt1 dev = 0.00027184649999999894 
CRITICAL:root:[2021-02-23 20:55:04.591283] Towers wt2 and wt3 spotted a threat. Coordinates [40.412857503747425; -86.94949063530542]
CRITICAL:root:[2021-02-23 20:55:04.591283] Tower wt2 dev = 0.00029560250000000045 ; Tower wt3 dev = 0.00026911799999999875 
CRITICAL:root:[2021-02-23 20:55:04.646602] Towers wt3 and wt2 spotted a threat. Coordinates [40.41272734371246; -86.94913269520927]
CRITICAL:root:[2021-02-23 20:55:04.646602] Tower wt3 dev = 0.002237429000000001 ; Tower wt2 dev = 0.00029560250000000045 
CRITICAL:root:[2021-02-23 20:55:05.028166] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269155706199; -86.94916779998647]
CRITICAL:root:[2021-02-23 20:55:05.028166] Tower wt3 dev = 0.002237429000000001 ; Tower wt1 dev = 0.00018889700000000037 
CRITICAL:root:[2021-02-23 20:55:06.621244] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269144287375; -86.94915769432727]
CRITICAL:root:[2021-02-23 20:55:06.621244] Tower wt3 dev = 0.002237429000000001 ; Tower wt1 dev = 0.00017396699999999883 
CRITICAL:root:[2021-02-23 20:55:06.680655] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269470408339; -86.94944631138016]
CRITICAL:root:[2021-02-23 20:55:06.680655] Tower wt3 dev = 0.0005656754999999996 ; Tower wt1 dev = 0.00017396699999999883 
CRITICAL:root:[2021-02-23 20:55:07.702417] Towers wt3 and wt1 spotted a threat. Coordinates [40.41269470408339; -86.94944631138016]
CRITICAL:root:[2021-02-23 20:55:07.702417] Tower wt3 dev = 0.0005656754999999996 ; Tower wt1 dev = 0.00017396699999999883 
CRITICAL:root:[2021-02-23 20:55:08.593472] Towers wt3 and wt1 spotted a threat. Coordinates [40.412698330133104; -86.9497672167802]
CRITICAL:root:[2021-02-23 20:55:08.593472] Tower wt3 dev = 0.0005656754999999996 ; Tower wt1 dev = 0.00040378800000000215 
CRITICAL:root:[2021-02-23 20:55:08.748927] Towers wt1 and wt3 spotted a threat. Coordinates [40.41270560667535; -86.95041119076906]
CRITICAL:root:[2021-02-23 20:55:08.748927] Tower wt1 dev = 0.00040378800000000215 ; Tower wt3 dev = 0.00011366749999999932 
CRITICAL:root:[2021-02-23 20:55:10.470173] Towers wt1 and wt2 spotted a threat. Coordinates [40.41281172282354; -86.95049822229015]
CRITICAL:root:[2021-02-23 20:55:10.470173] Tower wt1 dev = 0.00040378800000000215 ; Tower wt2 dev = 0.00020715675000000135 
CRITICAL:root:[2021-02-23 20:55:10.632586] Towers wt1 and wt2 spotted a threat. Coordinates [40.412795677993174; -86.95054582195357]
CRITICAL:root:[2021-02-23 20:55:10.632586] Tower wt1 dev = 0.0005181990000000022 ; Tower wt2 dev = 0.00020715675000000135 
CRITICAL:root:[2021-02-23 20:55:10.713256] Towers wt1 and wt2 spotted a threat. Coordinates [40.412795677993174; -86.95054582195357]
CRITICAL:root:[2021-02-23 20:55:10.713256] Tower wt1 dev = 0.0005181990000000022 ; Tower wt2 dev = 0.00020715675000000135 
CRITICAL:root:[2021-02-23 20:55:12.440551] Towers wt1 and wt2 spotted a threat. Coordinates [40.41279414483401; -86.95055037032576]
CRITICAL:root:[2021-02-23 20:55:12.440551] Tower wt1 dev = 0.0005181990000000022 ; Tower wt2 dev = 0.00020200475000000002 
